and	ja
multiple	useat
likely	todennäköinen
likely	luultavasti
likely	todennäköisesti
likely	todennäköistä
terms	ehtoja
terms	ehdot
sir	herra
square	torille
square	neliö
square	torilla
try	kokeile
try	yritä
topic	aiheen
topic	aihe
topic	aiheeseen
woman	nainen
categories	luokat
greek	kreikka
greek	kreikkalainen
greek	kreikkaa
greek	kreikan
greek	kreikkalaiset
recent	viimeaikainen
recent	viimeaikaiset
recent	viimeisimmät
recent	äskettäin
sent	lähetetty
sent	lähetetyt
sent	lähetti
copyright	tekijänoikeuksien
copyright	tekijänoikeudet
copyright	tekijänoikeuden
speed	nopeus
speed	nopeutta
speed	vauhti
templates	malleja
money	rahaa
saw	näin
saw	näki
senior	vanhempi
selected	valittu
selected	valitut
selected	valittiin
politician	poliitikko
true	totta
required	edellytetään
required	vaadittu
regular	säännöllisesti
regular	tavallinen
regular	säännöllinen
regular	säännölliset
commercial	kaupallista
commercial	kaupalliset
commercial	kaupallinen
cities	kaupunkeja
cities	kaupunkien
cities	kaupungit
contains	sisältää
trade	kauppa
trade	kauppaa
trade	kaupan
trade	kaupankäynti
degree	asteen
degree	tutkinto
birth	synnytys
birth	syntymä
sun	aurinkoa
sun	auringon
sun	aurinko
finished	valmiit
finished	päättynyt
longer	kauemmin
longer	pidempään
longer	pidempi
longer	pitempään
access	käyttöoikeus
access	pääsy
access	saatavuus
journal	päiväkirja
journal	lehti
beginning	alkuun
beginning	alussa
beginning	alku
software	ohjelmisto
software	ohjelmiston
software	ohjelmat
software	ohjelmistojen
software	ohjelmistot
famous	kuuluisa
famous	kuuluisia
famous	kuuluisat
famous	tunnettu
religious	uskonnollinen
religious	uskonnolliset
running	juoksevat
running	juoksee
running	käynnissä
brought	tuotiin
missing	kadonnut
missing	kadoksissa
missing	puuttuu
missing	puuttuvat
economic	taloudelliset
economic	taloudellinen
structure	rakenne
rural	maaseudun
rural	maaseutu
remained	pysynyt
remained	säilyi
remained	pysyi
decision	päätös
certain	varmaa
certain	tietty
certain	tiettyjen
certain	tietyt
quite	melko
hit	osui
hit	lyö
hit	osuu
minutes	minuuttia
minutes	pöytäkirjat
minutes	minuutteja
minutes	pöytäkirja
spain	espanjan
spain	espanjassa
whole	kokonaisena
whole	kokonaiset
lord	herra
decided	päättänyt
decided	päätettiin
decided	päätetty
decided	päätti
operations	operaatiot
operations	toimien
operations	toiminnot
function	toiminto
assembly	edustajakokouksen
assembly	kokoonpano
assembly	kokoontuminen
security	vartiointi
security	turvallisuus
security	turvallisuuden
uses	käyttää
uses	käyttötarkoitukset
owned	omistaa
owned	omisti
owned	omistuksessa
operation	toiminta
operation	toimenpide
operation	toiminto
operation	operaatio
call	soita
call	puhelu
successful	menestys
successful	onnistui
successful	menestynyt
successful	onnistunut
legal	oikeudellinen
legal	oikeudelliset
prince	prinssi
prince	ruhtinas
mean	ilkeä
mean	tarkoita
jewish	juutalaista
jewish	juutalaiset
jewish	juutalainen
staff	henkilöstö
staff	henkilöstön
staff	henkilökunta
establishments	laitosten
establishments	laitokset
goal	tavoite
goal	päämäärä
goal	tavoitteen
agree	hyväksy
agree	sovittava
bad	huono
bad	pahaa
attendance	osallistuminen
attendance	läsnäolo
populated	asutuilla
nature	luonnosta
nature	luonne
nature	luontoa
nature	luonto
allowed	sallittua
allowed	sallittu
mount	vuori
calculated	laskettuna
calculated	lasketaan
calculated	laskettu
calculated	lasketut
structures	rakenteita
structures	rakenteet
structures	rakenteiden
hard	kova
hard	kovaa
saying	sanomassa
saying	sanonta
manager	esimies
manager	johtaja
earlier	aikaisempi
earlier	aikaisemmin
earlier	aiempi
earlier	aiemmin
elections	vaalit
meet	tapaaminen
meet	tavata
meet	tapaa
box	laatikko
lines	viivat
lines	riviä
democratic	demokraattiset
success	menestys
success	menestystä
success	onnistuminen
associated	liitetty
associated	liittyvät
traditional	perinteisiä
traditional	perinteiset
traditional	perinteinen
rest	lepää
rest	levätä
matter	väliä
wide	laaja
wide	leveä
month	kuukaudessa
month	kuukausi
month	kuukauden
month	kuukautta
care	välitä
admin	ylläpitäjän
admin	ylläpito
admin	ylläpitäjä
cultural	kulttuurinen
plan	suunnitella
plan	suunnitelma
plan	suunnitelman
therefore	siksi
practice	harjoitus
practice	harjoitukset
practice	käytäntö
practice	käytännön
command	komentoa
nomination	ehdokkuuden
nomination	nimittäminen
jersey	jerseyssä
parties	osapuolet
parties	asianosaiset
parties	puolueet
anyone	ketään
master	isäntä
noted	huomioitu
usa	yhdysvaltojen
feature	ominaisuutta
feature	ominaisuus
engine	moottorin
engine	moottorit
engine	moottori
response	vastaus
response	vaste
needed	tarvita
needed	tarvittiin
needed	tarvitaan
needed	tarvittu
experience	kokemukset
experience	kokemus
experience	kokemuksen
experience	kokemuksia
experience	kokemusta
highest	korkeimman
highest	korkeimmat
highest	korkein
engineering	tekniikka
silver	hopea
silver	hopeaa
separate	erikseen
separate	erilliset
separate	erillinen
secretary	sihteeri
recording	nauhoitus
recording	tallentaa
recording	kirjaaminen
recording	tallentaminen
rules	sääntöjä
rules	säännöt
trying	yrittää
trying	yritän
youth	nuoret
youth	nuorisoa
youth	nuoriso
youth	nuoruus
scotland	skotlannissa
houses	talot
houses	talojen
houses	taloja
heart	sydäntä
heart	sydän
heart	sydämen
room	huoneen
room	huone
stone	kivestä
shown	näytetty
deal	sopimus
scores	pisteet
dead	kuolleet
dead	kuollut
key	keskeinen
turn	käänny
occupation	miehityksen
occupation	miehitys
executive	toimeenpano
executive	toimeenpaneva
plant	kasvi
plant	voimala
plant	tehdas
promoted	ylennyksen
villages	kyliä
languages	kieliä
languages	kielet
leave	lähde
leave	jätä
feel	tuntuu
covered	katettu
covered	kattoi
covered	peitetty
merge	yhdistäminen
merge	yhdistä
merge	yhdistää
mostly	lähinnä
mostly	enimmäkseen
mostly	useimmiten
mostly	pääosin
mostly	pääasiassa
numerous	lukuisat
numerous	lukuisia
ancient	antiikin
property	omaisuutta
property	kiinteistö
property	ominaisuus
property	omaisuus
property	kiinteistöt
property	tontti
programs	ohjelmia
programs	ohjelmat
picture	kuvaa
picture	kuvan
finally	vihdoinkin
finally	vihdoin
ships	alukset
ships	aluksia
ships	laivat
ships	laivoja
secondary	toissijainen
nations	kansakuntien
nations	kansakunnat
nations	kansakuntia
majority	enemmistö
annual	vuosittain
annual	vuotuinen
annual	vuosittaiset
annual	vuosittainen
mission	tehtävä
mission	tehtävän
lived	asunut
lived	elänyt
seat	kotipaikka
seat	istuimen
seat	istuin
profile	profiilia
profile	profiilin
profile	profiili
dance	tanssit
dance	tanssia
dance	tanssi
prize	palkintoa
prize	palkinto
prize	palkinnon
doing	tekemässä
doing	tekee
port	portti
pass	syöttö
transport	liikenne
transport	kuljetukset
transport	kuljetus
organizations	organisaatiot
organizations	järjestöt
organizations	yhdistykset
organizations	organisaatioita
organizations	järjestöjen
ratio	suhde
ratio	suhdeluku
recently	äskettäin
fall	pudota
fall	syksy
global	maailmanlaajuinen
global	maailmanlaajuiset
global	maailmanlaajuisen
era	aikakausi
wing	siipi
wing	siiven
opinion	lausunnon
opinion	mielipiteen
opinion	mielipide
commander	komentaja
fort	linnoitus
effect	vaikutusta
effect	vaikutus
effect	seuraus
effect	vaikutukset
opening	avaus
opening	avajaiset
purpose	tarkoitus
purpose	tarkoituksena
purpose	käyttötarkoitus
winter	talven
winter	talvi
winter	talvella
activities	toiminnat
activities	toiminta
activities	toimintaa
activities	toimet
activities	toiminnot
income	tuotot
income	tulot
comes	tulee
older	vanhempia
older	vanhempi
older	vanhempaa
peak	huippu
lack	puutetta
lack	puute
lack	puuttuminen
complex	monimutkaista
complex	monitahoinen
complex	monimutkainen
complex	monimutkaiset
academic	akateemisen
academic	akateeminen
stars	tähdet
stars	tähtien
stars	tähtiä
stars	tähteä
accounts	tilinpäätös
accounts	tilit
accounts	tilejä
accounts	kirjanpito
appearance	ulkonäkö
appearance	ulkonäön
appearance	ulkoasu
asked	pyydetty
asked	kysyttiin
asked	pyysi
asked	kysyi
asked	kysytty
friends	ystävät
friends	ystäviä
friends	kavereita
financial	taloudellista
entry	merkintä
sense	järkeä
meaning	merkitys
meaning	tarkoittaen
actress	näyttelijätär
actress	näyttelijä
map	kartta
map	karttaa
intended	aiottu
intended	tarkoitettu
boston	bostonissa
rate	arvioi
rate	korko
literature	kirjallisuus
literature	kirjallisuuden
literature	kirjallisuutta
forest	metsä
voice	ääntä
voice	äänen
voice	ääni
justice	oikeudenmukaisuus
justice	oikeus
justice	oikeutta
double	kaksinkertainen
polish	puola
polish	puolalaiset
polish	puolalainen
polish	puolan
numbers	luvut
temple	temppeli
defeated	voitti
defeated	voitettu
defeated	lyöty
administration	hallinnon
administration	hallinto
administration	annostelu
ended	loppui
ended	päättyi
ended	päättynyt
claims	saatavat
claims	väittää
claims	väitteet
parish	seurakunta
actors	näyttelijät
actors	näyttelijöitä
actors	toimijoiden
actors	toimijat
nine	yhdeksän
attended	osallistuivat
attended	osallistui
attended	osallistunut
newspaper	lehti
newspaper	sanomalehti
newspaper	sanomalehteä
friend	ystävä
friend	kaveri
friend	kaverin
unknown	tuntematon
winner	voittaja
winner	voittajan
chart	kaavio
chart	kuvio
initially	aluksi
initially	alunperin
loss	menetys
loss	menetykset
sites	sivustojen
sites	sivustot
sites	sivustoja
starting	aloitetaan
starting	alkaen
starting	aloittaminen
starting	aloitus
starting	alkaa
architecture	arkkitehtuurin
architecture	arkkitehtuuri
relations	suhteet
upper	ylempi
upper	ylä
supported	tuettiin
tracks	jälkiä
tracks	jäljet
tracks	kappaleet
tracks	rataa
tracks	kappaleita
contract	sopimus
contract	sopimuksen
face	ilme
face	kasvot
directly	suoraan
spent	käytettyä
spent	käytetyt
spent	käytetty
spent	vietetty
girl	tyttö
clearly	selvästi
clearly	selkeästi
junior	nuorempi
politics	politiikan
politics	politiikka
politics	politiikkaa
greater	suuremmat
greater	suurempi
presented	esiteltiin
presented	esitelty
presented	esitti
cause	syy
cause	aiheuttaa
cause	koska
cause	aatteen
volume	tilavuus
volume	määrä
caused	aiheutti
caused	aiheuttanut
flight	lentoa
candidate	ehdokkaana
candidate	ehdokkaan
passed	kulunut
matches	ottelut
matches	täsmää
claimed	haettu
claimed	väittivät
claimed	väitti
claimed	väitetty
except	paitsi
oil	öljyn
oil	öljyä
oil	öljy
oil	öljyt
assistant	assistentti
assistant	avustaja
surface	pintaa
victory	voittoa
victory	voitto
regiment	rykmentti
stories	kertomuksia
represented	edustettuina
weeks	viikot
weeks	viikkoja
weeks	viikkoa
retired	eläkkeelle
retired	eläkkeellä
communities	yhteisöt
communities	yhteisöjen
train	junan
paper	paperi
adding	lisätään
adding	lisääminen
provides	tarjoaa
remains	jäännökset
remains	pysyy
metal	metallinen
wrong	väärä
wrong	väärin
wrong	vikaa
larger	suurempia
larger	suuremmat
larger	suurempi
larger	isompi
direct	suoraan
direct	suorat
direct	suoraa
direct	suora
frank	frankin
miles	kilometrejä
miles	kilometriä
blocked	estetty
blocked	tukossa
blocked	estänyt
launched	käynnistetty
launched	käynnisti
launched	käynnistettiin
mass	massa
chairman	puheenjohtajan
chairman	puheenjohtaja
relationship	suhde
relationship	suhteet
knowledge	osaaminen
knowledge	tietämys
knowledge	tietoa
format	muodossa
format	muoto
meeting	tapaaminen
meeting	kokous
failed	epäonnistui
failed	epäonnistunut
draft	luonnos
draft	luonnosta
goes	menee
fight	taistella
fight	ottelu
fight	taistelu
faculty	tiedekunnan
camp	leirillä
variety	lajikkeen
owner	omistajan
owner	omistaja
statistics	tilastotietoja
statistics	tilastotiedot
statistics	tilastot
statistics	tilastojen
statistics	tilastoja
raised	kasvatettu
raised	kasvatti
raised	nostettu
raised	kasvatit
raised	kasvanut
heavy	raskasta
heavy	raskaat
alone	yksistään
alone	yksin
alone	yksinään
episodes	jaksoista
gives	antaa
daily	päivittäistä
daily	päivittäin
daily	päivittäiset
daily	päivittäinen
latin	latinalaisen
completely	kokonaan
completely	täysin
products	tuotteita
products	tuotteet
products	tuotteiden
dark	pimeä
dark	pimeää
dark	tumman
attention	huomio
religion	uskontoa
religion	uskonto
religion	uskonnon
mind	mielen
administrative	hallinnolliset
administrative	hallinnollinen
cut	leikkaa
cut	leikata
footballer	jalkapalloilija
mayor	kaupunginjohtaja
beach	rantaa
descent	laskeutuminen
descent	laskeutumisen
nearly	lähes
nearly	melkein
leaving	poistuu
leaving	lähdössä
leaving	lähtevät
cast	näyttelijät
cast	heitetty
write	kirjoittaa
write	kirjoita
write	kirjoitetaan
towns	kaupunkien
towns	kaupungit
forms	muodot
inside	sisältä
inside	sisään
inside	sisällä
inside	sisäpuolella
wanted	etsintäkuulutettu
wanted	haluttu
individuals	yksilöitä
individuals	yksilöt
individuals	yksilöiden
authority	viranomaisen
authority	viranomainen
authority	valtuudet
mention	mainitse
projects	hankkeet
projects	hankkeiden
projects	hankkeita
continue	jatkaa
continue	jatkakaa
continue	jatka
continue	jatkuu
cost	kustannukset
cost	maksaa
cost	hinta
cost	kulut
cost	kustannus
drive	ajaa
notice	ilmoitus
notice	huomaa
forced	pakko
forced	pakotettu
forced	pakotti
basis	perusta
reasons	syyt
reasons	syitä
job	työpaikka
job	työ
job	työtä
job	työn
photo	kuvaa
photo	valokuva
hope	toivoa
hope	toivo
hope	toivottavasti
log	kirjaudu
parents	vanhemmat
parents	vanhempia
entered	syötetty
basic	perus
amount	määrä
spring	kevättä
spring	kevään
spring	kevät
tried	yritetty
tried	yritti
tried	kokeiltu
tried	yritin
critical	kriittiset
critical	kriittinen
critical	kriittistä
simple	yksinkertaiset
simple	yksinkertaista
simple	yksinkertainen
founder	perustaja
told	kerrottu
told	kertoi
told	kertonut
husband	aviomiehen
useful	hyödyllinen
useful	hyödyllisiä
useful	hyödyllistä
technical	tekninen
necessary	tarpeellisia
necessary	tarpeen
necessary	tarpeellista
necessary	tarpeelliset
necessary	tarpeellinen
necessary	välttämätön
believed	uskoivat
believed	uskoi
mountains	vuoria
mountains	vuoret
mountains	vuorten
mountains	vuoristo
importance	merkitys
importance	tärkeys
hotel	hotellissa
hotel	hotelli
hotel	hotellin
girls	tyttöjä
girls	tytöt
crew	miehistö
crew	miehistöä
crew	miehistön
feb	helmikuu
boy	poika
nation	kansakunta
defense	puolustus
golden	kultaiset
golden	kultainen
districts	alueet
faith	uskoa
faith	usko
racing	kilpa
mainly	lähinnä
mainly	pääosin
mainly	pääasiallisesti
mainly	pääasiassa
auto	automaattinen
auto	automaattisesti
unless	ellei
lives	elämät
lives	asuu
swedish	ruotsiksi
swedish	ruotsalainen
swedish	ruotsi
swedish	ruotsin
hot	kuumat
hot	kuumaa
hot	kuuma
entertainment	viihdettä
entertainment	viihde
turned	kääntyi
net	verkko
creation	luominen
creation	perustaminen
creation	luonti
product	tuote
product	tuotteen
product	tuotetta
product	tuotteet
increased	lisääntynyt
increased	kasvoi
votes	ääniä
votes	äänestykset
votes	äänet
contemporary	nykyaikainen
marriage	avioliiton
marriage	avioliitto
questions	kysymykset
questions	kysymyksiä
details	yksityiskohdat
details	yksityiskohtia
details	tiedot
forward	eteenpäin
memorial	muistomerkki
peace	rauhaa
peace	rauha
kept	pidetty
analysis	analyysit
analysis	analyysin
winners	voittajia
winners	voittajat
poor	köyhä
cricket	sirkka
judge	tuomari
electric	sähköllä
electric	sähkö
electric	sähköinen
electric	sähköiset
exist	olemassa
campus	kampuksella
campus	kampuksen
brazil	brasiliassa
fifth	viidenneksi
fifth	viides
increase	lisäys
increase	lisätä
increase	korotus
remaining	jäljellä
statement	julkilausuma
broadcast	lähetys
serving	palvelevat
serving	palvelee
serving	palveleva
hour	tunti
hour	tunnin
moving	muutto
moving	liikkeellä
moving	liikkuvat
moving	liikkuu
resolution	päätöslauselman
resolution	päätöslauselma
concept	käsite
alternative	vaihtoehtoinen
alternative	vaihtoehtoiset
alternative	vaihtoehtoisia
alternative	vaihtoehto
brothers	veljekset
attacks	hyökkäykset
encyclopedia	tietosanakirja
representatives	edustajat
representatives	edustajien
representatives	edustajia
politicians	poliitikkoja
difficult	vaikeaa
difficult	vaikea
difficult	vaikeat
difficult	hankala
difficult	hankalaa
ability	kyvyt
ability	kyvyn
ability	kyky
ability	valmiudet
