and	और
fine	जुर्माना
fine	ठीक
winter	सर्दियों
winter	सर्दियाँ
winter	सर्दी
winter	शीत
congress	कांग्रेस
congress	कॉंग्रेस
activities	गतिविधियाँ
activities	क्रियाएँ
income	आमदनी
income	इनकम
massachusetts	मैसाचुसेट्स
older	पुराने
older	पुराना
older	वृद्ध
older	पुरानी
peak	शिखर
lack	कमी
bass	बेस
bass	बास
super	सूपर
super	सुपर
complex	परिसर
complex	जटिल
academic	अकादमिक
stars	तारों
stars	तारे
stars	सितारे
stars	तारें
stars	सितारों
accounts	खाता
accounts	खाते
appearance	रूप
asian	एशियाई
asked	पुछा
asked	माँगी
asked	पूछे
asked	पूछा
friends	मित्रो
friends	मित्र
friends	दोस्तों
friends	मित्रों
kind	प्रकार
kind	दयालु
entry	एन्ट्री
entry	एंट्री
actress	अदाकारा
map	मानचित्र
map	मैप
bishop	बिशप
boston	बोस्टन
rate	दर
rate	रेट
forest	जंगल
forest	वनों
forest	वन
voice	वॉइस
voice	आवाज़
jack	जैक
jack	जोकर
justice	इंसाफ
britain	ब्रिटेन
champion	चैम्पियन
champion	चैंपियन
double	दोहरा
double	डबल
double	दोगुना
polish	पालिश
polish	पॉलिश
numbers	संख्या
numbers	संख्याएँ
columbia	कोलंबिया
temple	मंदिर
temple	टेम्पल
administration	प्रशासन
claims	दावे
claims	दावा
jones	जोन्स
parish	मोहल्ला
actors	अभिनेता
actors	अभिनेताओं
sister	बहन
sister	सिस्टर
nine	नहला
nine	नौ
table	टेबल
table	मेज़
pop	पॉप
newspaper	अख़बार
newspaper	अखबार
friend	मित्र
friend	दोस्त
unknown	अज्ञात
winner	विजेता
chart	चार्ट
loss	नुकसान
loss	घाटा
sites	साइटें
sites	साइट्स
sites	साइट
architecture	वास्तु
upper	ऊपरी
upper	अपर
tracks	ट्रैक
tracks	ट्रैक्स
contract	संविदा
contract	अनुबंध
face	चेहरे
face	चेहरा
face	फेस
directly	सीधे
spent	खर्च
girl	लडकी
girl	लड़की
junior	जूनियर
francisco	फ्रांसिस्को
politics	पॉलिटिक्स
greater	बड़ा
greater	वृहद
presented	प्रस्तुत
cause	कारण
volume	वाल्यूम
volume	आयतन
volume	आवाज़
tom	टॉम
flight	फ्लाइट
flight	फ़्लाइट
flight	उड़ान
candidate	उम्मीदवार
oil	तेल
oil	ऑयल
assistant	सहायक
surface	सतह
victory	विजय
regiment	रेजीमेंट
stories	कहानियाँ
stories	कहानियां
speedy	त्वरित
weeks	हफ्ते
weeks	सप्ताह
listing	लिस्टिंग
retired	सेवानिवृत्त
retired	रिटायर्ड
communities	समुदायों
train	ट्रेन
train	रेलगाड़ी
train	ट्रैन
paper	कागज
paper	पेपर
adding	जोड़ना
metal	धातु
metal	मेटल
wrong	गलत
wrong	ग़लत
direct	डायरेक्ट
frank	फ्रैंक
frank	फ़्रैंक
miles	मील
blocked	अवरोधित
mass	मास
chairman	चेयरमैन
comedy	कॉमेडी
relationship	रिश्ता
relationship	रिश्ते
knowledge	ज्ञान
format	प्रारूप
format	फ़ॉर्मेट
format	फॉर्मेट
format	फार्मेट
format	स्वरूप
meeting	मीटिंग
meeting	बैठक
failed	असफल
failed	विफल
officers	अधिकारीयों
officers	अधिकारियों
draft	प्रारूप
draft	ड्राफ़्ट
draft	मसौदा
draft	ड्राफ्ट
fight	लड़ाई
fight	लड़ो
figure	आकृति
figure	फिगर
faculty	संकाय
camp	कैम्प
camp	कैंप
camp	शिविर
variety	किस्में
owner	मालिक
statistics	आंकड़े
statistics	आँकड़े
statistics	सांख्यिकी
raised	उठी
raised	अर्जित
raised	उठाया
heavy	भारी
alexander	अलेक्जेंडर
alexander	सिकंदर
alone	अलोन
episodes	धारावाहिक
episodes	एपिसोड
episodes	एपीसोड
gives	देता
daily	रोज
daily	रोजाना
daily	रोज़
williams	विलियम्स
latin	लातिन
latin	लैटिन
products	उत्पाद
dark	गहरा
dark	अंधेरा
attention	ध्यान
religion	मजहब
religion	धर्म
mind	मन
mind	दिमाग
cut	कट
cut	काटें
scott	स्कॉट
becoming	बनने
jean	जाँ
jean	जां
mayor	मेयर
beach	बीच
cast	कास्ट
cast	डाल
write	लिखे
write	लिखें
towns	कस्बों
forms	फ़ॉर्म
joe	जोए
joe	जो
inside	अन्दर
inside	भीतर
inside	अंदर
authority	प्राधिकार
mention	जिक्र
projects	परियोजनाएँ
projects	परियोजनाएं
projects	प्रोजेक्ट
vice	वाइस
drive	ड्राइव
notice	नोटिस
johnson	जॉनसन
forced	मजबूर
basis	आधार
reasons	कारणों
reasons	कारण
job	नौकरी
job	कार्य
job	जॉब
photo	फोटो
photo	फ़ोटो
hope	उम्मीद
